date,fiyat,pay,hesap,buyukluk
2024-09-02,0.0,0.0,0,0.01
2024-09-03,0.0,0.0,0,0.01
2024-09-04,0.0,0.0,0,0.01
2024-09-05,0.0,0.0,0,0.01
2024-09-06,0.0,0.0,0,0.01
2024-09-09,0.0,0.0,0,0.01
2024-09-10,0.0,0.0,0,0.01
2024-09-11,0.0,0.0,0,0.01
2024-09-12,0.0,0.0,0,0.01
2024-09-13,0.0,0.0,0,0.01
2024-09-16,0.0,0.0,0,0.01
2024-09-17,0.0,0.0,0,0.01
2024-09-18,0.0,0.0,0,0.01
2024-09-19,0.0,0.0,0,0.01
2024-09-20,0.0,0.0,0,0.01
2024-09-23,0.0,0.0,0,0.01
2024-09-24,0.0,0.0,0,0.01
2024-09-25,0.0,0.0,0,0.01
2024-09-26,0.0,0.0,0,0.01
2024-09-27,0.0,0.0,0,0.01
2024-09-30,0.0,0.0,0,0.01
2024-10-01,0.0,0.0,0,0.01
2024-10-02,0.0,0.0,0,0.01
2024-10-03,0.0,0.0,0,0.01
2024-10-04,0.0,0.0,0,0.01
2024-10-07,0.0,0.0,0,0.01
2024-10-08,0.0,0.0,0,0.01
2024-10-09,0.0,0.0,0,0.01
2024-10-10,0.0,0.0,0,0.01
2024-10-11,0.0,0.0,0,0.01
2024-10-14,0.0,0.0,0,0.01
2024-10-15,0.0,0.0,0,0.01
2024-10-16,0.0,0.0,0,0.01
2024-10-17,0.0,0.0,0,0.01
2024-10-18,0.0,0.0,0,0.01
2024-10-21,0.0,0.0,0,0.01
2024-10-22,0.0,0.0,0,0.01
2024-10-23,0.0,0.0,0,0.01
2024-10-24,0.0,0.0,0,0.01
2024-10-25,0.0,0.0,0,0.01
2024-10-28,0.0,0.0,0,0.01
2024-10-30,0.0,0.0,0,0.01
2024-10-31,0.0,0.0,0,0.01
2024-11-01,0.0,0.0,0,0.01
2024-11-04,0.0,0.0,0,0.01
2024-11-05,0.0,0.0,0,0.01
2024-11-06,0.0,0.0,0,0.01
2024-11-07,0.0,0.0,0,0.01
2024-11-08,0.0,0.0,0,0.01
2024-11-11,0.0,0.0,0,0.01
2024-11-12,0.0,0.0,0,0.01
2024-11-13,0.0,0.0,0,0.01
2024-11-14,0.0,0.0,0,0.01
2024-11-15,0.0,0.0,0,0.01
2024-11-18,0.0,0.0,0,0.01
2024-11-19,0.0,0.0,0,0.01
2024-11-20,0.0,0.0,0,0.01
2024-11-21,0.0,0.0,0,0.01
2024-11-22,0.0,0.0,0,0.01
2024-11-25,0.0,0.0,0,0.01
2024-11-26,0.0,0.0,0,0.01
2024-11-27,0.0,0.0,0,0.01
2024-11-28,0.0,0.0,0,0.01
2024-11-29,0.0,0.0,0,0.01
2024-12-02,0.0,0.0,0,0.01
2024-12-03,0.0,0.0,0,0.01
2024-12-04,0.0,0.0,0,0.01
2024-12-05,0.0,0.0,0,0.01
2024-12-06,0.0,0.0,0,0.01
2024-12-09,0.0,0.0,0,0.01
2024-12-10,0.0,0.0,0,0.01
2024-12-11,0.0,0.0,0,0.01
2024-12-12,0.0,0.0,0,0.01
2024-12-13,0.0,0.0,0,0.01
2024-12-16,0.0,0.0,0,0.01
2024-12-17,0.0,0.0,0,0.01
2024-12-18,0.0,0.0,0,0.01
2024-12-19,0.0,0.0,0,0.01
