date,value
2011-09-01,72.30000
2011-10-01,73.90000
2011-11-01,74.00000
2011-12-01,73.60000
2012-01-01,72.00000
2012-02-01,71.60000
2012-03-01,71.20000
2012-04-01,72.50000
2012-05-01,72.50000
2012-06-01,73.10000
2012-07-01,73.30000
2012-08-01,72.90000
2012-09-01,73.40000
2012-10-01,74.80000
2012-11-01,74.40000
2012-12-01,75.20000
2013-01-01,73.70000
2013-02-01,73.30000
2013-03-01,72.80000
2013-04-01,73.00000
2013-05-01,72.60000
2013-06-01,73.00000
2013-07-01,73.90000
2013-08-01,73.10000
2013-09-01,73.40000
2013-10-01,75.60000
2013-11-01,74.60000
2013-12-01,75.00000
2014-01-01,73.60000
2014-02-01,72.80000
2014-03-01,72.60000
2014-04-01,72.70000
2014-05-01,72.40000
2014-06-01,73.00000
2014-07-01,73.10000
2014-08-01,71.50000
2014-09-01,72.50000
2014-10-01,74.40000
2014-11-01,74.00000
2014-12-01,74.00000
2015-01-01,73.70000
2015-02-01,71.70000
2015-03-01,70.90000
2015-04-01,71.80000
2015-05-01,71.90000
2015-06-01,72.00000
2015-07-01,72.70000
2015-08-01,71.90000
2015-09-01,73.30000
2015-10-01,73.90000
2015-11-01,73.60000
2015-12-01,73.50000
2016-01-01,73.30000
2016-02-01,71.90000
2016-03-01,71.80000
2016-04-01,72.80000
2016-05-01,73.40000
2016-06-01,72.80000
2016-07-01,72.90000
2016-08-01,71.10000
2016-09-01,73.90000
2016-10-01,72.10000
2016-11-01,72.70000
2016-12-01,73.20000
2017-01-01,72.60000
2017-02-01,72.50000
2017-03-01,71.50000
2017-04-01,72.20000
2017-05-01,72.40000
2017-06-01,72.00000
2017-07-01,72.20000
2017-08-01,72.90000
2017-09-01,73.70000
2017-10-01,75.20000
2017-11-01,75.90000
2017-12-01,75.00000
2018-01-01,74.60000
2018-02-01,73.10000
2018-03-01,73.40000
2018-04-01,74.20000
2018-05-01,74.10000
2018-06-01,74.60000
2018-07-01,73.30000
2018-08-01,73.30000
2018-09-01,72.80000
2018-10-01,74.20000
2018-11-01,74.40000
2018-12-01,73.40000
2019-01-01,73.40000
2019-02-01,73.20000
2019-03-01,73.80000
2019-04-01,74.00000
2019-05-01,74.20000
2019-06-01,74.90000
2019-07-01,74.50000
2019-08-01,75.50000
2019-09-01,74.70000
2019-10-01,75.30000
2019-11-01,75.70000
2019-12-01,75.70000
2020-01-01,75.10000
2020-02-01,74.80000
2020-03-01,73.90000
2020-04-01,59.80000
2020-05-01,58.40000
2020-06-01,62.40000
2020-07-01,66.90000
2020-08-01,68.90000
2020-09-01,71.10000
2020-10-01,71.80000
2020-11-01,72.30000
2020-12-01,71.00000
2021-01-01,70.60000
2021-02-01,70.60000
2021-03-01,70.60000
2021-04-01,71.60000
2021-05-01,71.90000
2021-06-01,72.40000
2021-07-01,73.50000
2021-08-01,73.60000
2021-09-01,74.00000
2021-10-01,76.00000
2021-11-01,76.20000
2021-12-01,76.60000
2022-01-01,76.10000
2022-02-01,75.80000
2022-03-01,75.60000
2022-04-01,75.70000
2022-05-01,75.40000
2022-06-01,75.40000
2022-07-01,75.70000
2022-08-01,74.40000
2022-09-01,74.20000
2022-10-01,74.90000
2022-11-01,74.50000
2022-12-01,74.50000
2023-01-01,73.40000
2023-02-01,73.40000
2023-03-01,71.70000
2023-04-01,73.40000
2023-05-01,73.30000
2023-06-01,73.90000
2023-07-01,73.20000
2023-08-01,72.90000
2023-09-01,73.30000
2023-10-01,73.90000
2023-11-01,74.80000
2023-12-01,74.40000
2024-01-01,73.40000
2024-02-01,73.80000
2024-03-01,73.10000
2024-04-01,72.60000
2024-05-01,73.50000
2024-06-01,73.60000
2024-07-01,72.70000
2024-08-01,73.70000
2024-09-01,73.50000
2024-10-01,73.90000
2024-11-01,74.70000
2024-12-01,74.00000
2025-01-01,72.90000
2025-02-01,73.50000
2025-03-01,73.10000
2025-04-01,72.70000
2025-05-01,73.30000
2025-06-01,73.50000
2025-07-01,72.50000
2025-08-01,72.50000
2025-09-01,72.10000
2025-10-01,72.00000
2025-11-01,72.40000
2025-12-01,72.70000
2026-01-01,72.40000
2026-02-01,72.10000
2026-03-01,72.40000
2026-04-01,72.00000
2026-05-01,73.10000
2026-06-01,72.60000
2026-07-01,72.30000
2026-08-01,72.20000
2026-09-01,72.50000
